model,accuracy,precision,recall,f1_score,auc_score
svm_tfidf,0.9492788461538462,0.9492789851707802,0.9492788461538462,0.9492788608084166,
logistic_regression_count,0.9408653846153846,0.9408795670673731,0.9408653846153846,0.9408646465123389,0.9815933187730836
logistic_regression_tfidf,0.9384615384615385,0.9386220531244835,0.9384615384615385,0.9384549946482099,0.9870563016611305
random_forest_count,0.9379807692307692,0.9382568967229357,0.9379807692307692,0.9379721958128379,0.9843981970191784
random_forest_tfidf,0.9360576923076923,0.9360727384082617,0.9360576923076923,0.9360574262749786,0.9848374777037028
svm_count,0.9314903846153846,0.9315184028148228,0.9314903846153846,0.9314888366726102,
naive_bayes_tfidf,0.8891826923076923,0.8912558629663925,0.8891826923076923,0.8890423159922825,0.965980536664393
naive_bayes_count,0.8793269230769231,0.8808715985091582,0.8793269230769231,0.8792108405636692,0.9485819705153786
knn_count,0.7901442307692308,0.8258303913405679,0.7901442307692308,0.7841706812754702,0.866523622113674
knn_tfidf,0.6459134615384615,0.7619302642934217,0.6459134615384615,0.6015329670817612,0.7165531270751997
